id,barcode,description,finalPrice,itemPrice,needsFetchReview,partnerItemId,preventTargetGapPoints,quantityPurchased,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,bonusPointsEarnedReason,pointsNotAwardedReason,pointsPayerId,rewardsGroup,rewardsProductPartnerId,userFlaggedDescription,originalMetaBriteBarcode,originalMetaBriteDescription,brandCode,competitorRewardsGroup,discountedItemPrice,originalReceiptItemText,itemNumber,originalMetaBriteQuantityPurchased,pointsEarned,targetPrice,competitiveProduct,originalFinalPrice,originalMetaBriteItemPrice,deleted,priceAfterCoupon,metabriteCampaignId,receiptId
0,4011,ITEM NOT FOUND,26.00,26.00,0,1,1,5,4011,1,26.00,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1eb0a720f0523000575
1,4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1bb0a720f052300056b
2,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,10.00,10.00,1,2,1,1,028400642255,1,10.00,1,null,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1bb0a720f052300056b
3,null,null,null,null,0,1,1,null,4011,1,26.00,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1f10a720f052300057a
4,4011,ITEM NOT FOUND,28.00,28.00,0,1,1,4,4011,1,28.00,4,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1ee0a7214ada100056f
5,4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1d20a7214ada1000561
6,1234,null,2.56,2.56,1,2,1,3,1234,1,2.56,3,null,null,null,null,null,,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1d20a7214ada1000561
7,4011,ITEM NOT FOUND,3.25,3.25,0,1,1,1,4011,null,null,null,null,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,null,028400642255,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1e40a7214ada1000566
8,null,MSSN TORTLLA,2.23,2.23,null,1009,null,1,null,null,null,null,null,null,null,null,null,null,null,null,MISSION,TACO BELL TACO SHELLS,2.23,MSSN TORTLLA,null,null,null,null,null,null,null,null,null,null,5ff1e1cd0a720f052300056f
9,046000832517,Old El Paso Mild Chopped Green Chiles- 4.5 Oz,10.00,10.00,null,0,null,1,null,null,null,null,null,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,OLD EL PASO BEANS & PEPPERS,5332f5f3e4b03c9a25efd0ae,null,null,null,BRAND,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1a40a720f0523000569
10,4011,ITEM NOT FOUND,20.00,20.00,0,1,1,5,4011,1,20.00,5,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1ed0a7214ada100056e
11,4011,ITEM NOT FOUND,20.00,20.00,0,1,1,3,4011,1,20.00,3,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1eb0a7214ada100056b
12,4011,ITEM NOT FOUND,1,1,null,1,null,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5ff1e1c50a720f052300056c
13,013562300631,Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells- 6 Oz,50.00,50.00,1,1,null,5,null,null,null,null,null,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae,null,null,null,null,null,50.00,null,013562300631,1,null,null,null,null,null,null,null,null,5ff1e1a10a720f0523000568
14,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,1,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
15,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,2,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
16,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,3,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
17,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,4,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
18,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,5,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
19,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,6,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
20,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,7,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
21,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,8,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
22,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,9,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
23,034100573065,MILLER LITE 24 PACK 12OZ CAN,29,29,null,10,null,1,null,null,null,null,null,null,5332f709e4b03c9a25efd0f1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,null,null,null,null,null,null,null,null,null,870.0,77,null,null,null,null,null,null,5ff1e1b60a7214ada100055c
24,075925306254,null,1,1,null,1,null,1,null,null,null,null,null,null,null,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,null,null,null,null,null,null,null,null,null,null,null,1,null,null,null,null,null,5f9c74f70a7214ad07000037
25,null,null,null,null,1,2,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
26,null,null,null,null,1,3,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
27,null,null,null,null,1,4,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
28,null,null,null,null,1,5,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
29,null,null,null,null,1,6,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
30,null,null,null,null,1,7,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
31,null,null,null,null,1,8,1,null,034100573065,1,29.00,1,null,null,null,null,null,MILLER LITE 24 PACK 12OZ CAN,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5f9c74f70a7214ad07000037
